ProductID,BrandName,Category,sub_category,Segment,Price ,Size_Options,Ratings,Reviews,Description
1014818,DOLCE CRUDO,Western,jeans,Women,6.26,5,4.3,455,dolce crudo women navy blue super skinny fit high rise clean look stretchable jeans
10147439,Roadster,Bottom Wear,jeans,Men,5.95,5,4.1,454,the roadster lifestyle co men blue slim tapered fit mid rise clean look stretchable jeans
10145357,WROGN,Bottom Wear,jeans,Men,6.26,3,4.2,454,wrogn men blue crop tapered fit mid rise clean look stretchable jeans
10138423,Roadster,Bottom Wear,jeans,Men,2.81,3,3.9,454,roadster men blue skinny fit mid rise clean look stretchable jeans
10146245,HIGHLANDER,Bottom Wear,shorts,Men,6.82,5,4.2,454,highlander men green solid slim fit regular shorts
10137359,Roadster,Topwear,shirts,Men,20.71,5,4.3,454,the roadster lifestyle co men teal blue  black regular fit checked sustainable casual shirt
10142249,Roadster,Topwear,shirts,Men,8.33,5,4.4,454,roadster men maroon  beige geometric printed cotton sustainable casual shirt
10149053,WROGN,Topwear,shirts,Men,7.65,5,4.5,454,wrogn men maroon slim fit solid casual shirt
10145445,ether,Topwear,tshirts,Men,4.39,3,4.3,454,ether men green solid round neck t shirt
10138555,Anubhutee,Indian Wear,kurtis,Women,4.07,4,4.2,454,anubhutee women maroon  golden printed straight kurti
10149241,Divena,Indian Wear,kurtas,Women,9.74,5,4.5,454,divena women blue  white printed anarkali kurta
10136409,Ahalyaa,Indian Wear,dresses,Women,3.13,4,4.2,454,ahalyaa orange  sea green striped maxi dress with ethnic jacket
10146519,Van Heusen,Lingerie & Sleep Wear,bra,Women,4.67,5,4.5,454,van heusen blue solid non wired non padded seamless shaper bra ilibr1cssww611001
10147731,DressBerry,Lingerie & Sleep Wear,bra,Women,5.01,5,4.1,454,dressberry pack of 2 solid non wired non padded everyday bra db enc bra 030
10143559,plusS,Plus Size,tops,Women,58.84,6,3.9,454,pluss women pink top with ruffles
10145313,HERE&NOW,Plus Size,tops,Women,9.05,3,4.3,454,herenow women pink solid top
10138883,Puma,Sports Wear,tights,Women,4.07,5,4.3,454,puma women black solid ignite long tights
10139015,Domyos By Decathlon,Sports Wear,track-pants,Women,3,4,4.4,454,domyos by decathlon women black solid slim fit rapid dry joggers
10145071,DILLINGER,Western,tshirts,Women,8.7,3,4.4,454,dillinger women black back printed round neck  longline oversized pure cotton t shirt
10144137,Tokyo Talkies,Western,jeans,Women,3.23,5,4.1,454,tokyo talkies women blue flared mid rise clean look jeans
10139225,Ira Soleil,Western,jackets,Women,13.62,5,4.2,454,ira soleil women black printed crop tailored jacket
10143941,ether,Western,tshirts,Women,3.88,5,4.4,454,ether women charcoal grey solid high neck t shirt
10147335,Roadster,Bottom Wear,jeans,Men,6.26,5,3.7,453,roadster men navy blue slim fit light fade jeans
10148149,HIGHLANDER,Bottom Wear,trousers,Men,3.89,5,4.2,453,highlander men white tapered fit solid chinos
10151393,Roadster,Topwear,shirts,Men,7.2,5,4.2,453,roadster men olive green solid sustainable casual shirt
10137701,The Indian Garage Co,Topwear,shirts,Men,6.12,3,4.3,453,the indian garage co men green  yellow slim fit checked casual shirt
10147167,Vishudh,Indian Wear,tunics,Women,5.32,5,3.9,453,vishudh peach coloured floral print tunic
10138113,Sangria,Indian Wear,kurtas,Women,3.99,5,4.5,453,sangria women green  golden printed anarkali kurta
10149171,DIVYANK,Indian Wear,kurtas,Women,7.51,5,4.5,453,divyank women black ethnic motifs printed gotta patti anarkali kurta
10152181,Saree mall,Indian Wear,sarees,Women,5.95,5,4,453,saree mall floral saree
10147547,Indo Era,Indian Wear,kurta-sets,Women,2.78,5,4.2,453,indo era women maroon embroidered kurta with palazzos
10148883,Zivame,Lingerie & Sleep Wear,bra,Women,9.74,5,4.3,453,zivame red solid underwired lightly padded t shirt bra zi1134corezp
10137341,Dollar Missy,Lingerie & Sleep Wear,briefs,Women,16.71,5,4.1,453,dollar missy women pack of 6 briefs 201s po6
10143753,Floret,Lingerie & Sleep Wear,bra,Women,3.25,5,4.2,453,floret pack of 2 solid full coverage t shirt bras t3033
10145061,Da Intimo,Lingerie & Sleep Wear,bra,Women,13.92,4,4.4,453,da intimo black lace lightly padded non wired styled back bralette di 735
10137021,Moda Rapido,Plus Size,kurtas,Women,31.33,5,3.9,453,moda rapido women rust orange woven design straight kurta
10139139,Cation,Western,tops,Women,22.95,6,4,453,cation black bralette crop top
10148931,Myshka,Western,trousers,Women,7.2,5,4,453,myshka women white regular fit solid cropped trousers
10138963,Tokyo Talkies,Western,sweatshirts,Women,4.07,4,4.3,453,tokyo talkies women peach coloured printed sweatshirt
10147813,TAG 7,Western,leggings,Women,4.17,5,4,453,tag 7 women white kurti pant
10149147,SASSAFRAS,Western,tops,Women,8.77,6,4.4,453,sassafras maroon pure cotton fitted crop top with lettuce edge
10137765,Kook N Keech,Western,tops,Women,3.32,4,4.2,453,kook n keech women pink embellished pure cotton top
10138997,Roadster,Bottom Wear,jeans,Men,2.81,3,3.8,452,roadster men navy blue skinny fit mid rise clean look stretchable jeans
10144399,INVICTUS,Bottom Wear,trousers,Men,4.87,5,4.1,452,invictus men black slim fit chinos
10137245,Kook N Keech,Bottom Wear,track-pants,Men,17.05,6,3.4,452,kook n keech blue track pants
10136123,WROGN,Topwear,tshirts,Men,4.07,4,4.1,452,wrogn men blue solid slim fit round neck pure cotton t shirt
10136985,HIGHLANDER,Topwear,shirts,Men,16.71,5,4.3,452,highlander men blue slim fit striped casual shirt
10137987,Harvard,Topwear,tshirts,Men,8,5,4.1,452,harvard men yellow printed polo pure cotton t shirt
10148997,Taavi,Topwear,shirts,Men,13.92,5,4.2,452,taavi men black hand block print legacy casual  sustainable shirt with roll up sleeves
10137195,Mast & Harbour,Topwear,shirts,Men,17.4,5,4.2,452,mast  harbour men white regular fit printed casual shirt
10138337,Roadster,Topwear,tshirts,Men,4.07,4,4.2,452,roadster men navy blue self design round neck t shirt
10136711,Myshka,Indian Wear,dresses,Women,3.96,5,4.3,452,myshka women navy blue  orange printed maxi a line dress
10138173,DressBerry,Lingerie & Sleep Wear,night-suits,Women,7.12,7,4.4,452,dressberry women black night suit
10147821,Dollar Missy,Lingerie & Sleep Wear,briefs,Women,5.32,5,4.1,452,dollar missy women pack of 6 briefs 201p po6
10147221,CUKOO,Sports Wear,track-pants,Women,4.73,5,4.2,452,black  pink activewearyogagymsports track pants with zipped pocket
10138271,PURYS,Western,shrug,Women,2.81,3,4.2,452,purys off white  red floral print fringed shrug
10144505,Berrylush,Western,dresses,Women,10.4,5,4.5,452,berrylush black floral printed fit and flare dress
